Timestamp,Size,Source IP,Destination IP,Source Port,Destination Port
1739447364.677743,54,10.0.2.15,173.194.76.84,59788,443
1739447364.680047,1815,10.0.2.15,173.194.76.84,59788,443
1739447364.681676,60,173.194.76.84,10.0.2.15,443,59788
1739447364.681676,60,173.194.76.84,10.0.2.15,443,59788
1739447364.683355,995,173.194.76.84,10.0.2.15,443,60663
1739447364.683776,75,10.0.2.15,173.194.76.84,60663,443
1739447364.683922,163,173.194.76.84,10.0.2.15,443,60663
1739447364.684329,69,173.194.76.84,10.0.2.15,443,60663
1739447364.684401,75,10.0.2.15,173.194.76.84,60663,443
1739447364.68468,75,10.0.2.15,173.194.76.84,60663,443
1739447364.692616,1292,173.194.76.84,10.0.2.15,443,60663
1739447364.695789,331,173.194.76.84,10.0.2.15,443,60663
1739447364.696275,79,10.0.2.15,173.194.76.84,60663,443
1739447364.701059,1043,142.251.209.36,10.0.2.15,443,47900
1739447364.701287,163,142.251.209.36,10.0.2.15,443,47900
1739447364.702573,74,10.0.2.15,142.251.209.36,47900,443
1739447364.709063,69,142.251.209.36,10.0.2.15,443,47900
1739447364.709063,67,173.194.76.84,10.0.2.15,443,60663
1739447364.737004,1494,142.251.209.36,10.0.2.15,443,51470
1739447364.737027,54,10.0.2.15,142.251.209.36,51470,443
1739447364.738636,1494,142.251.209.36,10.0.2.15,443,51470
1739447364.738652,54,10.0.2.15,142.251.209.36,51470,443
1739447364.739961,1494,142.251.209.36,10.0.2.15,443,51470
1739447364.739971,54,10.0.2.15,142.251.209.36,51470,443
1739447364.739997,74,10.0.2.15,142.251.209.36,47900,443
1739447364.740867,1113,142.251.209.36,10.0.2.15,443,51470
1739447364.740878,54,10.0.2.15,142.251.209.36,51470,443
1739447364.742396,1288,142.251.209.36,10.0.2.15,443,47900
1739447364.742396,1292,142.251.209.36,10.0.2.15,443,47900
1739447364.746382,1292,142.251.209.36,10.0.2.15,443,47900
1739447364.746383,535,142.251.209.36,10.0.2.15,443,47900
1739447364.750749,77,10.0.2.15,142.251.209.36,47900,443
1739447364.755069,152,10.0.2.15,142.251.209.36,47900,443
1739447364.759109,2934,173.194.76.84,10.0.2.15,443,59788
1739447364.759132,54,10.0.2.15,173.194.76.84,59788,443
1739447364.759831,2561,173.194.76.84,10.0.2.15,443,59788
1739447364.759843,54,10.0.2.15,173.194.76.84,59788,443
1739447364.763594,128,10.0.2.15,142.251.209.36,51470,443
1739447364.764559,60,142.251.209.36,10.0.2.15,443,51470
1739447364.777183,73,10.0.2.15,142.251.209.36,47900,443
1739447364.785475,128,10.0.2.15,173.194.76.84,59788,443
1739447364.786665,60,173.194.76.84,10.0.2.15,443,59788
1739447364.811607,69,142.251.209.36,10.0.2.15,443,47900
1739447364.818902,68,173.194.76.84,10.0.2.15,443,60663
1739447364.840704,74,10.0.2.15,142.251.209.36,47900,443
1739447364.848642,284,142.251.209.36,10.0.2.15,443,47900
1739447364.848886,93,142.251.209.36,10.0.2.15,443,47900
1739447364.84911,77,10.0.2.15,142.251.209.36,47900,443
1739447364.854869,150,10.0.2.15,142.251.209.36,47900,443
1739447364.860187,1022,173.194.76.84,10.0.2.15,443,59788
1739447364.901524,54,10.0.2.15,173.194.76.84,59788,443
1739447364.912822,69,142.251.209.36,10.0.2.15,443,47900
1739447364.938888,74,10.0.2.15,142.251.209.36,47900,443
1739447364.952884,126,10.0.2.15,142.251.209.36,47900,443
1739447364.977989,1288,142.251.209.36,10.0.2.15,443,47900
1739447364.978929,1292,142.251.209.36,10.0.2.15,443,47900
1739447364.979453,1292,142.251.209.36,10.0.2.15,443,47900
1739447364.98067,896,142.251.209.36,10.0.2.15,443,47900
1739447364.981278,199,142.251.209.36,10.0.2.15,443,47900
1739447364.982775,1287,142.251.209.36,10.0.2.15,443,47900
1739447364.98366,1292,142.251.209.36,10.0.2.15,443,47900
1739447364.984001,1292,142.251.209.36,10.0.2.15,443,47900
1739447364.984233,77,10.0.2.15,142.251.209.36,47900,443
1739447364.984371,1292,142.251.209.36,10.0.2.15,443,47900
1739447364.984445,73,10.0.2.15,142.251.209.36,47900,443
1739447364.984596,73,10.0.2.15,142.251.209.36,47900,443
1739447364.984747,73,10.0.2.15,142.251.209.36,47900,443
1739447364.984866,1292,142.251.209.36,10.0.2.15,443,47900
1739447364.98492,73,10.0.2.15,142.251.209.36,47900,443
1739447364.985962,1292,142.251.209.36,10.0.2.15,443,47900
1739447364.986576,1292,142.251.209.36,10.0.2.15,443,47900
1739447364.987664,1292,142.251.209.36,10.0.2.15,443,47900
1739447364.988028,1292,142.251.209.36,10.0.2.15,443,47900
1739447364.989943,1292,142.251.209.36,10.0.2.15,443,47900
1739447364.989943,1292,142.251.209.36,10.0.2.15,443,47900
1739447364.989943,1292,142.251.209.36,10.0.2.15,443,47900
1739447364.989943,1292,142.251.209.36,10.0.2.15,443,47900
1739447364.990361,1292,142.251.209.36,10.0.2.15,443,47900
1739447364.990855,1292,142.251.209.36,10.0.2.15,443,47900
1739447364.992148,1292,142.251.209.36,10.0.2.15,443,47900
1739447364.993467,1292,142.251.209.36,10.0.2.15,443,47900
1739447364.998318,1292,142.251.209.36,10.0.2.15,443,47900
1739447364.998318,1292,142.251.209.36,10.0.2.15,443,47900
1739447364.998318,1292,142.251.209.36,10.0.2.15,443,47900
1739447365.003339,1292,142.251.209.36,10.0.2.15,443,47900
1739447365.00334,1292,142.251.209.36,10.0.2.15,443,47900
1739447365.00334,1292,142.251.209.36,10.0.2.15,443,47900
1739447365.004356,1292,142.251.209.36,10.0.2.15,443,47900
1739447365.006765,1292,142.251.209.36,10.0.2.15,443,47900
1739447365.009259,1292,142.251.209.36,10.0.2.15,443,47900
1739447365.009621,352,142.251.209.36,10.0.2.15,443,47900
1739447365.013861,73,10.0.2.15,142.251.209.36,47900,443
1739447365.0143,73,10.0.2.15,142.251.209.36,47900,443
1739447365.018291,73,10.0.2.15,142.251.209.36,47900,443
1739447365.018569,73,10.0.2.15,142.251.209.36,47900,443
1739447365.018727,73,10.0.2.15,142.251.209.36,47900,443
1739447365.018876,73,10.0.2.15,142.251.209.36,47900,443
1739447365.019028,73,10.0.2.15,142.251.209.36,47900,443
1739447365.019268,73,10.0.2.15,142.251.209.36,47900,443
1739447365.019711,73,10.0.2.15,142.251.209.36,47900,443
1739447365.020148,73,10.0.2.15,142.251.209.36,47900,443
1739447365.020624,73,10.0.2.15,142.251.209.36,47900,443
1739447365.048995,142,142.251.209.36,10.0.2.15,443,47900
1739447365.049647,233,142.251.209.36,10.0.2.15,443,47900
1739447365.050484,77,10.0.2.15,142.251.209.36,47900,443
1739447365.13884,66,142.251.209.36,10.0.2.15,443,47900
1739447365.256151,94,10.0.2.15,10.0.2.3,56692,53
1739447365.267565,1292,10.0.2.15,142.251.209.10,37588,443
1739447365.268244,1292,10.0.2.15,142.251.209.10,37588,443
1739447365.32046,94,10.0.2.3,10.0.2.15,53,56692
1739447365.324279,82,142.251.209.10,10.0.2.15,443,37588
1739447365.337462,1292,142.251.209.10,10.0.2.15,443,37588
1739447365.337462,1292,142.251.209.10,10.0.2.15,443,37588
1739447365.337462,1292,142.251.209.10,10.0.2.15,443,37588
1739447365.339383,1292,10.0.2.15,142.251.209.10,37588,443
1739447365.343229,1292,142.251.209.10,10.0.2.15,443,37588
1739447365.343636,1292,142.251.209.10,10.0.2.15,443,37588
1739447365.343815,81,10.0.2.15,142.251.209.10,37588,443
1739447365.344185,1292,142.251.209.10,10.0.2.15,443,37588
1739447365.345701,82,10.0.2.15,142.251.209.10,37588,443
1739447365.382485,79,10.0.2.15,142.251.209.10,37588,443
1739447365.395453,226,142.251.209.10,10.0.2.15,443,37588
1739447365.397466,82,10.0.2.15,142.251.209.10,37588,443
1739447365.400462,125,10.0.2.15,142.251.209.10,37588,443
1739447365.400806,109,10.0.2.15,142.251.209.10,37588,443
1739447365.401839,435,10.0.2.15,142.251.209.10,37588,443
1739447365.43966,233,142.251.209.10,10.0.2.15,443,37588
1739447365.440023,206,10.0.2.15,142.251.209.10,37588,443
1739447365.455657,1002,142.251.209.10,10.0.2.15,443,37588
1739447365.456254,75,10.0.2.15,142.251.209.10,37588,443
1739447365.456612,163,142.251.209.10,10.0.2.15,443,37588
1739447365.456612,69,142.251.209.10,10.0.2.15,443,37588
1739447365.457072,75,10.0.2.15,142.251.209.10,37588,443
1739447365.45757,75,10.0.2.15,142.251.209.10,37588,443
1739447365.474765,342,142.251.209.10,10.0.2.15,443,37588
1739447365.475342,63,142.251.209.10,10.0.2.15,443,37588
1739447365.47716,79,10.0.2.15,142.251.209.10,37588,443
1739447365.4803,447,10.0.2.15,142.251.209.10,37588,443
1739447365.497331,67,142.251.209.10,10.0.2.15,443,37588
1739447365.537189,71,142.251.209.10,10.0.2.15,443,37588
1739447365.554598,239,142.251.209.10,10.0.2.15,443,37588
1739447365.555342,77,10.0.2.15,142.251.209.10,37588,443
1739447365.555674,229,142.251.209.10,10.0.2.15,443,37588
1739447365.584419,74,10.0.2.15,142.251.209.10,37588,443
1739447365.634194,86,10.0.2.15,10.0.2.3,44511,53
1739447365.635782,86,10.0.2.15,10.0.2.3,55809,53
1739447365.635868,86,10.0.2.15,10.0.2.3,47897,53
1739447365.637425,66,142.251.209.10,10.0.2.15,443,37588
1739447365.64726,251,10.0.2.3,10.0.2.15,53,55809
1739447365.64726,235,10.0.2.3,10.0.2.15,53,44511
1739447365.65485,1292,10.0.2.15,216.58.204.238,48624,443
1739447365.655458,1292,10.0.2.15,216.58.204.238,48624,443
1739447365.694487,123,10.0.2.3,10.0.2.15,53,47897
1739447365.694953,94,10.0.2.15,10.0.2.3,55879,53
1739447365.713583,82,216.58.204.238,10.0.2.15,443,48624
1739447365.716396,1292,216.58.204.238,10.0.2.15,443,48624
1739447365.716877,1292,216.58.204.238,10.0.2.15,443,48624
1739447365.717311,1292,216.58.204.238,10.0.2.15,443,48624
1739447365.717538,1292,10.0.2.15,216.58.204.238,48624,443
1739447365.730701,1292,216.58.204.238,10.0.2.15,443,48624
1739447365.731337,1292,216.58.204.238,10.0.2.15,443,48624
1739447365.731542,1292,216.58.204.238,10.0.2.15,443,48624
1739447365.731636,81,10.0.2.15,216.58.204.238,48624,443
1739447365.735704,82,10.0.2.15,216.58.204.238,48624,443
1739447365.7513,94,10.0.2.3,10.0.2.15,53,55879
1739447365.773581,874,216.58.204.238,10.0.2.15,443,48624
1739447365.774013,82,10.0.2.15,216.58.204.238,48624,443
1739447365.775655,125,10.0.2.15,216.58.204.238,48624,443
1739447365.775908,109,10.0.2.15,216.58.204.238,48624,443
1739447365.799787,74,10.0.2.15,216.58.204.238,48624,443
1739447365.82884,83,216.58.204.238,10.0.2.15,443,48624
1739447365.83239,986,216.58.204.238,10.0.2.15,443,48624
1739447365.83279,75,10.0.2.15,216.58.204.238,48624,443
1739447365.833174,163,216.58.204.238,10.0.2.15,443,48624
1739447365.833255,75,10.0.2.15,216.58.204.238,48624,443
1739447365.856387,66,216.58.204.238,10.0.2.15,443,48624
1739447366.134226,1221,10.0.2.15,216.58.204.238,48624,443
1739447366.217797,70,216.58.204.238,10.0.2.15,443,48624
1739447366.241818,1288,216.58.204.238,10.0.2.15,443,48624
1739447366.241818,1288,216.58.204.238,10.0.2.15,443,48624
1739447366.242675,1292,216.58.204.238,10.0.2.15,443,48624
1739447366.242675,1292,216.58.204.238,10.0.2.15,443,48624
1739447366.243168,188,216.58.204.238,10.0.2.15,443,48624
1739447366.249702,74,10.0.2.15,216.58.204.238,48624,443
1739447366.251097,77,10.0.2.15,216.58.204.238,48624,443
1739447366.251343,73,10.0.2.15,216.58.204.238,48624,443
1739447366.267407,1287,216.58.204.238,10.0.2.15,443,48624
1739447366.267408,1292,216.58.204.238,10.0.2.15,443,48624
1739447366.267408,1292,216.58.204.238,10.0.2.15,443,48624
1739447366.267408,1292,216.58.204.238,10.0.2.15,443,48624
1739447366.267408,1292,216.58.204.238,10.0.2.15,443,48624
1739447366.267408,1292,216.58.204.238,10.0.2.15,443,48624
1739447366.267941,1292,216.58.204.238,10.0.2.15,443,48624
1739447366.273297,1292,216.58.204.238,10.0.2.15,443,48624
1739447366.273298,1292,216.58.204.238,10.0.2.15,443,48624
1739447366.275006,1292,216.58.204.238,10.0.2.15,443,48624
1739447366.275646,1292,216.58.204.238,10.0.2.15,443,48624
1739447366.278443,1292,216.58.204.238,10.0.2.15,443,48624
1739447366.279022,1292,216.58.204.238,10.0.2.15,443,48624
1739447366.279861,1292,216.58.204.238,10.0.2.15,443,48624
