Timestamp,Size,Source IP,Destination IP,Source Port,Destination Port
1739447083.625861,644,10.0.2.15,35.186.224.24,34798,443
1739447083.626046,377,10.0.2.15,35.186.224.24,34798,443
1739447083.627933,60,35.186.224.24,10.0.2.15,443,34778
1739447083.628187,60,35.186.224.24,10.0.2.15,443,34778
1739447083.628187,60,35.186.224.24,10.0.2.15,443,34798
1739447083.628187,60,35.186.224.24,10.0.2.15,443,34798
1739447083.628187,60,35.186.224.24,10.0.2.15,443,34798
1739447083.628721,90,10.0.2.15,10.0.2.3,42262,53
1739447083.630685,90,10.0.2.15,10.0.2.3,49844,53
1739447083.630921,90,10.0.2.15,10.0.2.3,40711,53
1739447083.638293,106,10.0.2.3,10.0.2.15,53,49844
1739447083.676635,672,35.186.224.24,10.0.2.15,443,34798
1739447083.676636,672,35.186.224.24,10.0.2.15,443,34784
1739447083.676636,703,35.186.224.24,10.0.2.15,443,34778
1739447083.676669,54,10.0.2.15,35.186.224.24,34784,443
1739447083.67691,85,10.0.2.15,35.186.224.24,34798,443
1739447083.677086,85,10.0.2.15,35.186.224.24,34778,443
1739447083.681673,60,35.186.224.24,10.0.2.15,443,34798
1739447083.681673,60,35.186.224.24,10.0.2.15,443,34778
1739447083.688823,85,35.186.224.24,10.0.2.15,443,34798
1739447083.689386,90,10.0.2.3,10.0.2.15,53,40711
1739447083.689386,118,10.0.2.3,10.0.2.15,53,42262
1739447083.692409,1292,10.0.2.15,142.250.27.84,44198,443
1739447083.694498,1292,10.0.2.15,142.250.27.84,44198,443
1739447083.706203,793,35.186.224.24,10.0.2.15,443,34778
1739447083.709696,93,10.0.2.15,35.186.224.24,34778,443
1739447083.713984,60,35.186.224.24,10.0.2.15,443,34778
1739447083.721981,54,10.0.2.15,35.186.224.24,34798,443
1739447083.726412,90,10.0.2.15,10.0.2.3,45336,53
1739447083.734776,106,10.0.2.3,10.0.2.15,53,45336
1739447083.735832,86,10.0.2.15,10.0.2.3,41875,53
1739447083.735924,86,10.0.2.15,10.0.2.3,46061,53
1739447083.73601,86,10.0.2.15,10.0.2.3,43800,53
1739447083.737127,1075,35.186.224.24,10.0.2.15,443,34798
1739447083.737147,54,10.0.2.15,35.186.224.24,34798,443
1739447083.738213,92,10.0.2.15,10.0.2.3,38885,53
1739447083.738594,101,10.0.2.15,10.0.2.3,44320,53
1739447083.739607,74,10.0.2.15,104.199.65.9,32778,4070
1739447083.743912,146,10.0.2.3,10.0.2.15,53,46061
1739447083.743912,158,10.0.2.3,10.0.2.15,53,41875
1739447083.745572,93,10.0.2.15,35.186.224.24,34798,443
1739447083.746421,60,35.186.224.24,10.0.2.15,443,34798
1739447083.759735,97,10.0.2.15,10.0.2.3,35665,53
1739447083.760033,97,10.0.2.15,10.0.2.3,42693,53
1739447083.773199,82,142.250.27.84,10.0.2.15,443,44198
1739447083.7732,1292,142.250.27.84,10.0.2.15,443,44198
1739447083.7732,1292,142.250.27.84,10.0.2.15,443,44198
1739447083.7732,154,10.0.2.3,10.0.2.15,53,35665
1739447083.7732,1292,142.250.27.84,10.0.2.15,443,44198
1739447083.7732,1292,142.250.27.84,10.0.2.15,443,44198
1739447083.7732,1292,142.250.27.84,10.0.2.15,443,44198
1739447083.7732,1292,142.250.27.84,10.0.2.15,443,44198
1739447083.773641,91,10.0.2.15,10.0.2.3,35243,53
1739447083.776674,91,10.0.2.15,10.0.2.3,48476,53
1739447083.776944,91,10.0.2.15,10.0.2.3,47097,53
1739447083.778073,1292,10.0.2.15,35.186.224.24,55123,443
1739447083.778224,1292,10.0.2.15,35.186.224.24,55123,443
1739447083.780672,176,10.0.2.3,10.0.2.15,53,48476
1739447083.780673,176,10.0.2.3,10.0.2.15,53,35243
1739447083.784014,176,10.0.2.3,10.0.2.15,53,47097
1739447083.790397,1292,10.0.2.15,35.186.224.24,41558,443
1739447083.79057,1292,10.0.2.15,35.186.224.24,41558,443
1739447083.791032,1292,10.0.2.15,142.250.27.84,44198,443
1739447083.791157,81,10.0.2.15,142.250.27.84,44198,443
1739447083.795985,101,10.0.2.3,10.0.2.15,53,44320
1739447083.795985,130,10.0.2.3,10.0.2.15,53,43800
1739447083.796248,101,10.0.2.15,10.0.2.3,41403,53
1739447083.796457,96,10.0.2.15,10.0.2.3,44171,53
1739447083.796637,96,10.0.2.15,10.0.2.3,45800,53
1739447083.797584,96,10.0.2.15,10.0.2.3,40113,53
1739447083.797706,82,10.0.2.15,142.250.27.84,44198,443
1739447083.797946,74,10.0.2.15,35.186.224.24,34812,443
1739447083.798258,92,10.0.2.3,10.0.2.15,53,38885
1739447083.80158,100,10.0.2.15,10.0.2.3,51233,53
1739447083.80183,100,10.0.2.15,10.0.2.3,47569,53
1739447083.802041,100,10.0.2.15,10.0.2.3,43742,53
1739447083.802222,88,10.0.2.15,10.0.2.3,55419,53
1739447083.802398,88,10.0.2.15,10.0.2.3,39011,53
1739447083.802585,88,10.0.2.15,10.0.2.3,56534,53
1739447083.803205,91,10.0.2.15,10.0.2.3,39048,53
1739447083.803315,74,10.0.2.15,35.186.224.24,34828,443
1739447083.803316,74,10.0.2.15,35.186.224.24,34832,443
1739447083.803316,74,10.0.2.15,35.186.224.24,34848,443
1739447083.803454,91,10.0.2.15,10.0.2.3,46359,53
1739447083.805034,161,10.0.2.3,10.0.2.15,53,45800
1739447083.805034,173,10.0.2.3,10.0.2.15,53,44171
1739447083.81006,176,10.0.2.3,10.0.2.15,53,46359
1739447083.810061,176,10.0.2.3,10.0.2.15,53,39048
1739447083.810061,132,10.0.2.3,10.0.2.15,53,47569
